GENDER,BIRTH_YEAR,PRIOR_EXP,DEPTH,PROCAST,APTITUDE,CONCEPT,ANXIETY,INTEREST,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS
1,1988,1,64.3202618817496,44.3969511951963,52.4157313005604,-9.01592866868168,55.8639910191351,45.800700897254,159,114,123,94,115
1,1997,2,57.8594495425266,6.7252081334516,17.0357833568761,16.3427046913166,12.7963313621988,87.8190351945908,90,125,125,90,190
1,1997,3,69.8356977024109,-5.96356910581015,1.163030261552,21.7374075791509,.888567391391723,74.3421503618839,129,105,117,67,196
1,1997,1,95.0127388478973,8.42832052193278,3.04505530114472,27.5326928361407,1.1371675246274,91.0581185947565,125,200,200,0,100
1,1998,2,42.8339985672468,8.58357180442259,2.98865605282508,14.7816119226365,12.7550107633958,87.728781350932,135,190,155,75,170
1,1997,3,58.2855003480303,-5.35748822610671,1.46229159621174,22.9442523068205,2.78311669005232,76.1529492776448,159,97,109,43,200
1,1997,1,60.2286095887237,22.717268181668,16.3874859988745,-.997515593506687,58.0333459412384,74.6567926765563,58,115,97,153,177
1,1998,3,41.9635729659679,9.88555794201903,12.987712103318,6.41885607813356,42.3085330225132,77.8765115575666,110,90,165,150,90
1,1996,2,63.5452561727296,15.1506879820994,44.2646970758656,20.6250292072757,7.49598948841235,86.9360602946464,74,36,125,60,39
1,1996,1,71.1196442476993,1.08169197397487,23.305202574266,14.2983596681929,44.4814904713104,76.8022182550976,188,92,160,110,101
1,1998,3,41.5658728816631,69.6190891930542,74.8049680389759,-34.5056999812385,71.1038588706679,45.285392592207,153,70,80,98,106
1,1999,1,31.9819111674619,9.04391381581356,5.36556223438568,22.0194600807029,6.81364570702477,83.8159623107275,0,150,110,5,40
1,1997,3,68.5523227360086,45.6862564547998,44.9627373480536,-22.463513754145,76.7540448338129,67.5021817958044,70,160,90,105,100
2,1995,1,75.1727680690967,18.6474627613706,25.2389339986388,-7.07677333254894,26.4382562041729,80.2021680175505,20,140,150,170,120
1,1997,2,35.3215142789682,-4.09637877396011,-.244634860528335,20.9037411264133,1.17865597054463,65.7822509010999,150,119,167,39,113
1,1998,1,36.7529951412223,20.8437453072195,7.24151356745022,9.48606821921312,22.3418757403095,73.26496404741,100,90,60,120,155
1,1991,3,54.1149466948885,30.8031366322784,32.8769429702594,-2.39635259628713,47.8763478904849,74.8075516501832,37,130,107,162,136
1,1993,1,62.1431854516879,-3.72205128731913,1.42885411698341,11.8524059482076,6.53518312218245,60.9376558890204,140,110,170,95,105
1,1998,1,40.1895287510601,2.61128820365996,17.9931440454076,19.1064162701284,8.90080707517241,80.9082921359914,31,159,145,50,100
1,1997,1,96.6807564683411,-3.10010085170207,6.50991495227337,24.8916802922965,8.26167890897164,90.7665879373217,31,22,134,199,162
1,1997,1,74.79789497514,8.31373445693229,1.65843907780862,16.032877287656,6.57160257441104,88.8469516714419,100,105,80,30,115
1,1997,3,46.7005118405395,18.7622799943648,23.3187545162168,-1.82259084848586,60.4589703328435,70.1793494904044,57,125,97,157,145
1,1997,3,85.1380621003951,5.03211238527993,12.308475441638,8.06571981887436,16.3727413172131,85.2718705974423,125,180,180,125,200
1,1997,1,46.4136236449554,18.9195415445416,32.1414624574698,-6.21500469536958,50.5409065966914,65.374134083355,55,120,160,180,80
1,1991,1,55.4909071079783,27.5039597069691,1.1983896152607,-13.1879120818257,12.6672153825206,84.062053776711,90,145,110,60,145
1,1994,2,22.5296113484475,28.5963777405023,12.650535928212,-2.67501613425956,20.0984059466754,29.4996643125407,55,170,165,194,166
